# PD works (author d.<=1930) with a SINGLE Project Gutenberg id + P747, not yet done.
# Feed: python projects/isbn_cleanup/curate_pd_works.py --file output/pd_single_gutenberg_todo.txt --no-first-edition --save
Q2664833	9639(fr/Text)	La Dame de Monsoreau
Q268211	131(en/Text)	The Pilgrim’s Progress
Q26833	2267(en/Text)	Othello
Q268545	7461(fr/Text)	Thérèse Raquin
Q2699195	1856(en/Text)	Le Cousin Pons
Q2700616	700(en/Text)	The Old Curiosity Shop
Q2712800	1749(en/Text)	Cousin Bette
Q2713465	360(en/Text)	What Is Property?
Q2714636	5135(en/Text)	The Fortune of the Rougons
Q2718088	1899(en/Text)	Le Curé de village
Q2719097	1482(en/Text)	Modeste Mignon
Q272506	175(en/Text)	The Phantom of the Opera
Q273668	57085(fi/Text)	Apology
Q2738351	8954(en/Text)	Lady Audley's Secret
Q2740921	1898(en/Text)	Albert Savarus
Q2742986	1683(en/Text)	Honorine
Q2743363	19690(en/Text)	Apologia Pro Vita Sua
Q274744	161(en/Text)	Sense and Sensibility
Q2748292	50316(en/Text)	La Fontaine's Fables
Q27653665	33562(da/Text)	Minna
Q27912	12116(en/Text)	Struwwelpeter
Q28226159	710(en/Text)	Love of Life & Other Stories
Q28491	45334(it/Text)	The Betrothed
Q289117	20178(eo/Text)	John Gabriel Borkman
Q2894491	9455(en/Text)	Belinda
Q2896920	55308(en/Text)	Progress and Poverty
Q29053296	1709(en/Text)	New Grub Street
Q2920815	13707(en/Text)	Twice-Told Tales
Q2924760	20321(en/Text)	A Short Account of the Destruction of the Ind
Q2931240	224(en/Text)	A Pair of Blue Eyes
Q2943614	7118(en/Text)	What Maisie Knew
Q2943621	375(en/Text)	An Occurrence at Owl Creek Bridge
Q29478	21000(de/Text)	Faust
Q2955918	64353(en/Text)	Fields, Factories, and Workshops
Q2974972	11199(fr/Text)	
Q2974973	11199(fr/Text)	In the Moonlight
Q2976327	20006(eo/Text)	Dua Libro
Q2992478	178(en/Text)	Confidence
Q2995560	11714(fr/Text)	Contes de la bécasse
Q301342	56668(fr/Text)	A Season in Hell
Q3017080	18271(fr/Text)	Georges
Q3024921	4277(en/Text)	Two Years Before the Mast
Q3026751	14156(fr/Text)	Dictionary of Received Ideas
Q3041819	2345(en/Text)	The Adventure of the Red Circle
Q3041826	2348(en/Text)	The Disappearance of Lady Frances Carfax
